Kejadian i-th,Tipe Pengamatan dari Pemerintah Indonesia,Pelanggaran terhadap Pancasila dan UUD (Kurangnya beragama dengan baik sesuai Pancasila - Kurangnya Sikap Nasionalis dan Patriot - Radikalisme - Intoleran - Komunisme - Mal praktek - dll),Kejahatan atau Kekerasan atau Menggangu terhadap orang lain (Sikap atau sifat dari hati termasuk dengki - iri - hasud - fitnah - sombong dan lainnya - termasuk kejahatan sihir dan juga termasuk konflik antar warga atau Perang antar negara serta lainnya),Pencurian dan Perampokan serta Penipuan dan pemalsuan,Pelanggaran Korupsi - Kolusi - dan Nepotisme (KKN),Kasus Asusila,Pengerusakan fasilitas Negara,Pelanggaran terhadap BPOM (Obat dan Makanan),Pelanggaran lalu lintas,Bantuan dan Jaminan Tempat tinggal yang layak,Tunjangan dan Peningkatan kualitas pendidikan dasar sampai kampus dan pendidikan keagamaan di bawah kemenag,Kemudahan akses air bersih,Subsidi dan Peningkatan Jaminan Kesehatan,Peningkatan Kemandirian Ekonomi dan Pangan,Peningkatan Kesejahteran dan Pelatihan Ekonomi Kreatif,Turunnya dan Stabilnya Harga Kebutuhan Pokok,Peningkatan Lapangan Kerja untuk Meminimalkan Pengangguran dan Kemiskinan,Gempa Bumi atau Likuifaksi tanah atau Likuifaksi gempa,Tanah Longsor,Banjir,Gunung Meletus,Tsunami Pantai,Kekeringan - Kebakaran dan Pemanasan Global,Tsunami Langit (Asteroid - Tabrakan antar Galaxy - Badai Matahari),Angin Topan dan Angin lainnya yang merusak,Serangan Hama atau Hewan,Badai Salju
11,P2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1,0.05,0,0,0,0,0.05,0,0,1,0,1,0,0.5,0.5,0.5,0,0.75,0
12,P2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.05,-,-,-,-,0.1,0.1,0.1,0.75,0.75,0.25,0.25,0.25,0.25,-,-,,-
13,P2,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0.05,0,0,1,1,1,0,0.5,1,0,1,1,0
14,P2,1,0.25,1,1,0.25,0.25,0.25,0.5,0,0,0,0.2,0.2,0.2,0.1,0.1,1,0.75,1,0.5,0.5,0.75,1,1,1,0
15,P2,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0.05,0.05,0.05,0,0.75,0.75,1,0.5,0.75,1,0.75,0.5,1,0
16,P2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-,-,-,-,-,-,-,-,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0
17,P2,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.5,0,0,0,0,0.1,0.1,0.1,0.1,1,0,1,0,0.5,1,1,0,0,0
18,P2,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0.1,0,0,0.75,0.5,0.5,0,0,0,0.5,0,0.75,0
19,P2,1,0.25,1,0.5,0.25,0.25,0.5,0.5,0,0,0,0,0.2,0.2,0.2,0,1,1,1,0.5,1,1,1,0.75,0,0
20,P2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,0.1,0.05,,0.5,0.5,0.75,0,0,0.5,0.5,0.5,0.75,0
21,P2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0.05,0.05,0.05,0.75,1,0.75,0,0,0.5,0.75,0.75,0.75,0
22,P2,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0.15,0,0,0,1,0.75,1,0,0.75,1,1,0,0.1
23,P2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1,,,0.05,,,0.05,,,0,0.75,0.25,0.25,0.25,0.25,0.25,0,0,0
24,P2,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0,0,0,0.05,0.05,0.05,0.05,0.05,0.75,1,0.5,0,0,0.75,0.75,1,0,0
25,P2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0,0,0,0,0,0.05,0.05,0,1,0.5,1,0,0,0,0.5,0.5,1,0
26,P2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0.05,0.05,0,,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,
27,P2,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.5,0,0,0,0,0,0.05,0,0,0,0.75,0.75,0,0,0,0.75,0,0.75,0
28,P2,0.25,0.25,1,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0.1,0,0,1,0.75,0.75,0,0,1,0.5,1,0,0
29,P2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0.1,0,0,0.75,0,0,0,0,0.75,0.75,1,1,0
30,P2,0.5,0,0.5,0.25,0.25,0.25,0.25,0.5,0,0.1,0,0,0,0.05,0.05,0.05,0.75,0.75,1,0.5,1,0.75,0.75,0.75,0.75,0
31,P2,0.25,0.25,1,0.25,0.25,0.25,0.25,0.5,0,0,0,0,0.1,0.05,,,1,0.5,0.75,0,0,0,0.5,0.5,0.5,0
32,P2,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0.05,0.05,0.1,0.05,0.1,0.5,0.5,0.75,0,0,0,0.5,0.5,0,0
